model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Asus Vivobook S 14 Flip OLED TP3402VAKN057 ,Asus,לא רלוונטי,ללא,"1.5 ק""ג",8 GB,3.7Ghz,13700H,דור 13,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,לא כולל,לא כולל,4078,7281,5679.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193875,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S14 Flip,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN073 ,Asus,גיימינג,ללא,"2.6 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3426,4025,3725.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1187677,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,WiFi 6
  Asus ZenBook 14 UX3402ZAKM164W ,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",8 GB,3.3Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3678,4562,4120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1155948,2022,Intel Iris Xe Graphics,Intel Core i5,ZenBook 14,"WiFi 6, 802.11ax"
  Asus TUF Gaming F15 FX516PCHN558W ,Asus,גיימינג,Windows 11 Home,"2.0 ק""ג",8 GB,3.1Ghz,11300H,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,144 Hz,ללא,לא זמין,לא כולל,לא כולל,3150,4244,3697.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149028,2022,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
  HP 250 G9 6F1Z7EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1359,2238,1798.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173511,2022,Integrated Intel Iris Xe Graphics,Intel Core i3,250 G9,"802.11b, 802.11a, 802.11n, 802.11ac"
  HP 250 G9 6F1Z9EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1708,2153,1930.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173514,2022,Intel Iris Xe Graphics,Intel Core i5,250 G9,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  HP 15sfq5031nj 7C472EA,HP,לא רלוונטי,ללא,"1.69 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2195,2926,2560.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1181952,מ 2023,Intel Iris Xe Graphics,Intel Core i5,לא רלוונטי,"802.11g, 802.11b, 802.11a, 802.11n, 802.11ac"
  HP 250 G9 6S6V0EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1879,3023,2451.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1173516,2022,Intel Iris Xe Graphics,Intel Core i5,250 G9,WiFi 6
  HP 14sdq5013nj 7C455EA,HP,לא רלוונטי,ללא,"1.46 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2850,3390,3120.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178614,2022,Intel Iris Xe Graphics,Intel Core i7,לא רלוונטי,WiFi 6
  HP 250 G9 6S6V5EA,HP,לא רלוונטי,ללא,"1.74 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2754,3563,3158.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1178877,2022,Intel Iris Xe Graphics,Intel Core i7,250 G9,WiFi 6
